"date","close","volume","open","high","low"
"14:16","124.28","117,555","122.76","124.40","121.74"
"2019/06/03","122.0200","422975.0000","119.7100","122.0800","118.7466"
"2019/05/31","119.8600","212902.0000","117.9900","120.0000","116.8473"
"2019/05/30","119.2900","185588.0000","118.7600","119.5000","118.1900"
"2019/05/29","118.5600","268174.0000","119.1200","119.1200","117.6400"
"2019/05/28","119.3300","408934.0000","118.4400","119.8300","118.1600"
"2019/05/24","118.2100","333590.0000","117.4600","118.8200","117.0100"
"2019/05/23","117.3000","289319.0000","115.4800","117.3300","114.7529"
"2019/05/22","115.9700","310170.0000","115.0800","116.0800","114.4800"
"2019/05/21","115.1600","226914.0000","114.7600","115.7400","114.3300"
"2019/05/20","114.3200","245142.0000","114.0000","114.6650","112.9520"
"2019/05/17","114.1100","202644.0000","114.9800","115.1200","113.9200"
"2019/05/16","115.2100","161038.0000","114.9000","116.1500","114.5931"
"2019/05/15","114.8500","191686.0000","113.2200","115.0000","113.2200"
"2019/05/14","114.2900","424081.0000","115.7900","115.8700","114.2400"
"2019/05/13","115.5600","359226.0000","116.5500","118.4500","114.8100"
"2019/05/10","117.7400","346816.0000","116.4700","118.0650","116.0405"
"2019/05/09","117.0000","279289.0000","114.7200","118.0693","112.5400"
"2019/05/08","114.9600","1557458.0000","119.0100","119.0100","109.5667"
"2019/05/07","119.7300","496272.0000","119.3700","120.1400","117.9900"
"2019/05/06","119.9400","241213.0000","116.7800","120.2700","116.1300"
"2019/05/03","118.1200","260318.0000","118.7200","120.1600","116.7500"
"2019/05/02","118.3400","232013.0000","119.5600","120.2100","117.4000"
"2019/05/01","119.5800","372072.0000","116.4600","121.3850","116.4600"
"2019/04/30","115.8900","429290.0000","121.5500","121.5600","115.8500"
"2019/04/29","121.5900","195323.0000","122.4800","122.6900","121.1450"
"2019/04/26","122.4200","322853.0000","120.7800","123.0900","120.0700"
"2019/04/25","120.3100","240912.0000","118.8300","121.2300","118.3200"
"2019/04/24","118.6700","239264.0000","119.3700","119.4300","118.2500"
"2019/04/23","119.5000","170747.0000","116.8900","119.6600","116.5400"
"2019/04/22","116.8900","123953.0000","118.0700","118.5080","116.4100"
